,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10
0,-0.26300287,-0.2943917,0.107161514,-0.38081235,-0.14438398,-0.20766187,-0.12868297,-0.08431725,-0.1406653,-0.16202211
1,0.1152361,0.33336404,1.4796315,0.8758633,1.1502643,-0.18345147,-0.7417009,-0.6040792,1.4416795,1.6959645
2,-0.95661545,-0.42213032,-0.9622556,0.13999343,-0.4201428,1.0905095,-1.0918338,0.89997345,-1.205315,-1.1617054
3,-0.09373595,-1.02003,-0.99033535,-0.9212085,-0.7376281,1.1932254,-1.1327006,-0.009015501,-1.2661817,-0.9107855
4,-0.30356658,1.5145392,0.8016599,-0.347867,0.54338217,-0.5129182,0.9075097,0.054907903,0.91358,0.8533537
5,-0.281396,0.027075887,0.2717329,0.13834845,0.21879774,-0.31959704,-0.36989647,-0.16042018,-0.46947253,0.15318052
6,-0.9683577,0.28995717,0.028206855,0.8066584,-0.27811164,-0.16841131,-0.05061589,1.1232191,-0.23054078,-0.2154142
7,0.13625513,-0.64160687,-0.41245925,-0.52514666,-0.9250052,0.84792006,-0.6159022,0.116789415,-0.9943611,-0.7403025
8,0.021998793,-0.17895454,-0.74855787,0.8235301,-0.7543961,0.04307905,-1.2012799,0.4685728,-0.3325157,-0.53114593
9,0.20322381,-0.9424049,-1.5265043,-0.8275868,-1.45562,2.2165136,-1.57121,0.9580607,-1.5238819,-1.7264876
10,-0.6434091,0.84389824,0.827396,0.23941855,0.87261546,-0.354307,-0.12116389,0.07146637,0.6036466,0.90371037
11,0.284007,1.0076308,1.2807477,-0.26973605,0.692405,-0.22634801,0.1816783,-0.6806082,1.6161981,1.0811124
12,0.07605581,0.3871857,0.9313149,0.73047614,0.39108607,-0.6754273,-0.68808246,-0.24068502,0.949513,1.1507773
13,-0.18110116,-0.20380959,0.031938523,0.23710936,0.20106205,-0.478285,-0.737797,-0.23528428,-0.027362764,0.2867968
14,-0.38305628,-0.6602914,-0.35666484,-0.39211488,0.017033339,-0.14640206,-0.4505436,-0.6703814,0.18698788,-0.28176105
15,0.33263046,0.3976388,0.57485926,-0.24097697,-0.077663586,-0.42333403,0.115912676,-0.4975077,0.72000736,0.4474017
16,0.13266005,-0.23679966,-0.6902898,0.4484138,-0.54996014,0.1364443,-1.1239915,-0.121031925,-0.5988021,-0.2676334
17,-0.34886998,-0.12893936,0.03931798,0.022987366,-0.1532949,0.1940377,-0.12458828,0.44973898,-0.8858186,-0.35959816
18,-0.29463422,-0.7907123,-1.3187258,-0.28348172,-0.8152939,1.2436428,-1.3889694,0.29804903,-1.1844304,-1.2317324
19,-0.4040711,-1.1635516,-1.5480318,-0.6033951,-0.833122,0.97706664,-1.7413249,0.04770446,-0.72168785,-1.3226994
20,-0.21496758,0.17615712,0.2952982,0.07093027,0.0055900216,-0.3373031,0.020380273,0.06922655,-0.4221995,0.088379614
21,-0.41674286,-0.5735955,-1.6510448,0.098885655,-1.1110166,1.6092132,-1.9891549,0.4092003,-1.1874802,-1.3374258
22,-0.020481743,0.9575003,0.752473,-0.6562016,0.16970241,-0.50108016,0.5477803,-0.3745457,1.0199466,0.3936067
23,0.53810805,0.87927353,0.84067583,-0.12424007,-0.36622423,-0.618624,0.48613796,-0.37577564,0.5486801,0.7115914
24,-0.06951034,-0.12293975,-1.0205302,0.4733212,-0.5399684,1.0155654,-0.8036262,0.626237,-1.5084627,-0.52148414
25,0.24507765,-0.056148116,-0.5124976,0.39011925,-0.3448276,0.24055555,-0.6582891,-0.035989776,-0.88759255,-0.1402441
26,0.5947975,-0.53578734,-0.7401585,-0.66424924,-0.3357513,0.66419804,-0.5159439,-0.6033858,-1.1951978,-0.23002976
27,-1.0020374,0.18519473,-0.059543252,0.29713064,-0.331643,-0.09647858,0.32084414,1.0269843,-0.08145383,-0.1749169
28,0.43025076,1.6071908,0.895752,0.073718384,0.07917768,-0.45418808,1.3622178,-0.13810131,0.6987502,1.0257227
29,1.1354864,0.77013123,0.9122167,0.9259479,-0.3234382,-0.5219305,0.45457122,-0.6708122,0.55227095,1.2872527
30,-0.057311118,0.16892257,0.5342192,-0.07927458,0.44300756,-0.16151264,0.06482276,-0.6157723,-0.20176959,0.27261847
31,-0.3233413,0.50928074,0.6278553,-0.19663928,0.48339072,-0.47484064,-0.2285989,-0.07500649,0.9980337,0.69096535
32,-0.039633743,0.3237425,0.8274717,0.12168313,0.5022923,-0.44092852,-0.041987672,-0.12077776,0.33505803,0.58798254
33,-0.036511943,-0.00084362924,-0.2827837,0.19030249,0.3293489,0.21740505,-0.09332228,-0.34299543,-1.2854013,-0.008209027
34,0.49715048,1.0949593,1.1850767,0.21853146,0.16886026,-0.50791454,0.38077357,-0.35402673,1.1136398,1.2280258
35,0.6333437,-0.052596465,-0.0024360418,0.06862342,-0.68337655,-0.23283401,-0.23248982,-0.40285015,-0.28114805,0.054512635
36,0.31728446,1.1283245,0.92135656,0.56049246,0.20602259,-0.48293823,0.5223923,-0.25495398,0.3683502,1.0052274
37,0.75538737,0.18221796,0.4785937,0.31753525,0.01070939,-0.24139337,0.024198756,-0.65722334,-0.2634466,0.40011105
38,-0.048040293,0.56956035,0.6377201,0.4884562,0.05539733,-0.5906155,0.15593204,0.15817486,0.039966345,0.6974351
39,-0.6599877,0.058816105,0.14272708,0.19527625,-0.30339545,-0.298399,0.0021348894,0.5795223,-0.24760118,-0.073023535
40,-0.4833339,-0.5572916,-0.16109528,-0.9344275,-0.19903772,0.4591107,-0.008297473,0.064158216,-0.69576395,-0.81183887
41,-0.6247877,-0.12963724,0.14963144,0.034278646,-0.7520865,-0.1619587,0.32441935,0.99208933,0.055365086,-0.4109191
42,-0.47797596,0.17013681,0.31403697,-0.27603108,0.029186279,-0.27240705,0.5274173,0.29637647,-0.12048063,0.07334338
43,-0.4452535,-0.32460928,-0.12285088,0.18477498,-0.90683377,-0.14112419,-0.5022139,0.6034515,0.012764752,-0.70353675
44,-0.108806565,-0.019912787,0.18892998,0.0026898608,0.13263878,-0.55502135,-0.56643295,-0.18095644,0.44281602,0.202097
45,-0.2827006,0.55041736,0.70375043,0.36356938,0.3579217,-0.56638825,-0.25979057,0.23217244,0.2663223,0.6626221
46,-0.25987607,0.5081169,0.4101851,0.37990296,0.04249081,-0.36730444,0.37077323,0.35310805,-0.46831936,0.27620003
47,0.26920056,0.90044874,0.7068887,1.2089802,0.30930546,-0.5115462,0.5390793,0.0637023,-0.111368984,1.070999
48,0.1643794,0.67815566,0.56640476,0.7129396,-0.18100075,-0.57424986,0.5557469,0.41866076,0.04597026,0.86455554
49,-0.53738797,-0.2631563,-0.1621301,-0.26985377,0.10910717,-0.29046643,-0.22979061,-0.05452922,0.16937256,-0.13905117
50,0.3034293,0.49343514,0.8726249,0.3413535,0.38759193,-0.3131107,0.07222423,-0.6703761,0.09172732,0.6888089
51,-0.3855673,-0.5588081,-0.099228665,-0.84432924,-0.22314194,0.5375196,-0.15618277,0.29447109,-0.8081095,-0.6662431
52,-0.23579851,-0.9473576,-0.40552402,-0.7230661,-0.88843036,0.2583442,-0.5081151,0.0074129105,-0.24216685,-0.99565333
53,-0.1863176,0.5472157,0.42903125,-0.41068172,0.381633,-0.4020552,0.18965834,-0.106952995,0.635402,0.35218635
54,-0.19113961,0.704186,0.47335327,0.6409706,0.1539278,-0.6617999,0.2884746,0.4993103,0.2660883,0.82459706
55,0.2875085,0.8317528,0.77908087,0.58668685,0.09230247,-0.47788328,0.32003316,-0.16449906,0.24854833,0.9461655
56,-0.30979323,0.19204369,0.2294599,0.23228991,-0.06369674,-0.3790566,-0.041623265,0.23751421,-0.39072144,0.12429784
57,0.03975831,0.91537744,1.211753,0.43322462,0.9101479,-0.23115046,0.34401497,-0.31460688,0.45094144,1.0612592
58,-0.16665122,-1.1948614,-0.50797653,-1.126421,-0.9413508,0.5052036,-0.23260638,-0.08467504,-0.34275734,-1.0962021
59,0.21331228,1.0015595,1.069562,0.5247241,0.3518181,-0.54649293,0.2119349,-0.047087714,0.7766264,1.2100792
60,0.116639435,0.5707272,0.7109273,0.67058533,-0.1244272,-0.734548,-0.0032436252,0.06977855,0.3668784,0.9329762
61,1.4143155,0.38410938,0.8801938,1.423054,1.5986586,-0.29021072,0.7708678,-0.34499574,0.017932296,1.1528336
62,0.27521473,-0.08317974,-0.123208985,0.11793152,-0.18133879,-0.41206205,-0.09981938,0.4719953,0.05399692,-0.3344751
63,-0.4813854,0.70120764,0.5185912,0.2411749,0.43203518,-0.15368375,0.4205151,-0.120514296,-0.39511356,0.27146202
64,0.46385217,0.1575866,0.6385157,0.9148867,0.5634881,-0.34669697,0.29398915,-0.36338186,-0.4326781,0.6731719
65,-0.47076744,-1.2545042,-0.65794605,-1.2295545,-0.9561024,1.2000396,-0.85404,0.12488808,-1.0575569,-1.310186
66,0.02576366,0.07540041,-0.21196343,0.046604097,-0.33411562,-0.5858829,0.18671587,0.9490389,0.51077276,-0.41542724
67,0.45763564,-0.19861847,-0.102959946,-0.1555772,-0.40362504,-0.3672559,-0.2371079,0.00044183433,0.13761413,-0.4317048
68,0.3100806,0.24916372,0.117825374,0.40362746,0.42179576,-0.73358244,0.5212107,0.5778304,0.50754994,0.36689025
69,0.08649212,0.08665694,0.04975766,-0.08717553,-0.24929929,-0.62272096,0.3118034,0.37920278,0.37872726,-0.14889857
70,0.70488256,0.3548402,-0.009810671,0.6640303,1.441369,-0.4408124,0.7122234,0.52476144,0.47675985,0.10763425
71,0.84236646,0.076789156,0.33329973,1.275261,0.4084253,-0.6817478,0.24458876,0.4357261,0.35933238,0.98829037
72,0.5573221,0.48727304,0.27827108,1.1185328,0.08272013,-0.8167499,0.8045472,1.0302125,0.40625757,0.90771544
73,0.43005878,0.1562728,0.005129054,0.49469674,0.10352087,-0.26505792,0.59387267,0.66938496,-0.33389148,0.053727325
74,-0.070223644,-0.016105115,-0.22006954,0.24232556,0.45864984,-0.0062551796,-0.06561021,0.19644375,-0.59485584,-0.23721796
75,0.41613263,0.003555201,-0.039086536,0.17612785,1.5278975,-0.19063717,0.5315809,-0.2539335,-0.10267833,0.007261604
76,0.64339525,0.45202655,0.42191136,0.84663594,0.3004609,-0.51654506,1.0794524,0.3804857,-0.06722501,0.64155823
77,0.52912855,0.67781776,0.54449236,0.98246807,-0.08586055,-0.57526803,0.781247,0.38645726,-0.0723089,0.9737827
78,-0.9200152,0.1763139,0.46351308,0.022323243,0.00076916814,0.20706454,-0.9787564,-1.7250171,-0.27974704,0.58469146
79,-1.0004758,-0.42713946,-0.16459425,0.014315277,-0.24009371,0.32362822,-1.4096485,-1.9144098,-0.29784,0.5045047
80,-0.6335957,-0.041130465,-0.4791907,-0.2017669,-0.8527031,-0.72557044,0.017800063,1.2464665,1.1162,-0.8731176
81,0.59142756,0.6166399,0.9161386,1.3637882,1.029202,-0.6205523,0.38963833,0.042750046,0.25267994,1.1964852
82,1.4153018,0.22113764,0.6885878,1.077281,1.6247154,-0.27821594,0.55015767,0.18553214,0.09720194,1.0869612
83,-0.5277286,-1.1189263,-0.6897428,-1.2782867,-0.17748103,0.9131787,-0.74653804,-0.18617806,-1.0039127,-1.0061071
84,0.01630339,-0.5707836,-0.45573092,-0.6427215,0.4795473,0.28953835,-0.39765716,-1.1489788,-0.7579315,0.0034445748
85,-1.2530092,-1.909462,-2.3761208,-2.1311102,-0.78192806,2.1823099,-1.9195485,-1.85069,-2.1843848,-0.8591316
86,-0.12809671,0.14172913,0.25702566,0.5847873,0.24893528,-0.072110325,-0.78855705,-1.4563699,-0.62181765,0.7452678
87,-0.5413921,-1.0779278,-0.66811866,-0.97563684,-0.8462645,0.38911697,-0.42069185,-0.1634496,0.0075891614,-1.0742778
88,1.2134278,0.55773926,-0.21562637,0.2713588,1.1049948,-0.9582709,0.8189055,0.40113097,2.0380664,0.38769966
